total_cost,total_cost_ic,abs_diff,rel_diff_pct
386149,386149,0,0.0
637967,637967,0,0.0
383828,383828,0,0.0
313866,313866,0,0.0
442500,442500,0,0.0
429555,429555,0,0.0
188190,188190,0,0.0
387733,387733,0,0.0
447117,447117,0,0.0
176735,176735,0,0.0
236173,236173,0,0.0
483556,483556,0,0.0
386261,386261,0,0.0
283286,283286,0,0.0
382038,382038,0,0.0
429555,429555,0,0.0
442500,442500,0,0.0
496555,496555,0,0.0
149575,149575,0,0.0
165527,165527,0,0.0
568446,568446,0,0.0
336173,336173,0,0.0
386370,66370,320000,141.3614878296594
30750,30750,0,0.0
567267,567267,0,0.0
381325,381325,0,0.0
374186,374186,0,0.0
442500,442500,0,0.0
429555,429555,0,0.0
373797,373797,0,0.0
225000,225000,0,0.0
217909,217909,0,0.0
553074,553074,0,0.0
634501,634501,0,0.0
331799,331799,0,0.0
553250,553250,0,0.0
374377,374377,0,0.0
225000,225000,0,0.0
325411,325411,0,0.0
442500,442500,0,0.0
429555,429555,0,0.0
380659,380659,0,0.0
193410,193410,0,0.0
422454,422454,0,0.0
228000,228000,0,0.0
374186,374186,0,0.0
218775,218775,0,0.0
488600,488600,0,0.0
553074,553074,0,0.0
331313,331313,0,0.0
179060,179060,0,0.0
442530,442530,0,0.0
345910,25910,320000,172.12629767091605
442083,442083,0,0.0
162540,162540,0,0.0
414003,414003,0,0.0
320096,320096,0,0.0
583074,583074,0,0.0
374186,374186,0,0.0
189781,189781,0,0.0
374337,374337,0,0.0
478139,478139,0,0.0
250445,250445,0,0.0
366520,366520,0,0.0
326939,326939,0,0.0
145943,145943,0,0.0
288720,288720,0,0.0
351871,351871,0,0.0
48042,48042,0,0.0
550847,550847,0,0.0
48042,48042,0,0.0
612051,612051,0,0.0
712043,712043,0,0.0
612502,612502,0,0.0
482816,482816,0,0.0
676443,676443,0,0.0
47393,47393,0,0.0
600252,600252,0,0.0
481838,481838,0,0.0
612502,612502,0,0.0
695566,695566,0,0.0
456098,456098,0,0.0
325815,325815,0,0.0
749261,749261,0,0.0
431827,431827,0,0.0
631322,631322,0,0.0
482568,482568,0,0.0
173135,173135,0,0.0
741650,741650,0,0.0
23288,23288,0,0.0
318457,318457,0,0.0
730070,730070,0,0.0
621383,621383,0,0.0
235500,235500,0,0.0
546824,546824,0,0.0
538028,538028,0,0.0
555851,555851,0,0.0
407776,407776,0,0.0
181875,181875,0,0.0
461025,461025,0,0.0
477190,477190,0,0.0
318457,318457,0,0.0
196250,196250,0,0.0
590313,590313,0,0.0
538028,538028,0,0.0
528058,528058,0,0.0
599686,599686,0,0.0
240000,240000,0,0.0
568648,568648,0,0.0
514305,514305,0,0.0
441591,441591,0,0.0
485659,485659,0,0.0
218538,218538,0,0.0
538028,538028,0,0.0
589327,589327,0,0.0
235500,235500,0,0.0
643152,643152,0,0.0
326149,326149,0,0.0
544735,544735,0,0.0
501303,501303,0,0.0
583441,583441,0,0.0
499221,499221,0,0.0
551841,551841,0,0.0
460492,460492,0,0.0
576944,576944,0,0.0
185831,185831,0,0.0
425963,425963,0,0.0
544735,544735,0,0.0
586565,586565,0,0.0
745808,745808,0,0.0
480633,480633,0,0.0
390185,390185,0,0.0
488796,488796,0,0.0
465178,465178,0,0.0
129036,129036,0,0.0
295265,295265,0,0.0
606239,606239,0,0.0
157000,157000,0,0.0
454761,454761,0,0.0
569509,569509,0,0.0
197966,197966,0,0.0
503046,503046,0,0.0
753945,753945,0,0.0
512934,512934,0,0.0
513354,513354,0,0.0
295627,295627,0,0.0
132000,132000,0,0.0
291889,291889,0,0.0
100002,100002,0,0.0
467521,467521,0,0.0
103421,103421,0,0.0
768325,768325,0,0.0
79065,79065,0,0.0
200625,200625,0,0.0
295216,295216,0,0.0
749493,749493,0,0.0
749693,749693,0,0.0
291369,291369,0,0.0
193750,193750,0,0.0
798459,798459,0,0.0
132000,132000,0,0.0
429174,429174,0,0.0
301188,301188,0,0.0
194375,194375,0,0.0
396106,396106,0,0.0
233858,233858,0,0.0
64876,64876,0,0.0
745151,745151,0,0.0
334535,334535,0,0.0
240000,240000,0,0.0
586112,586112,0,0.0
295467,295467,0,0.0
412139,412139,0,0.0
291369,291369,0,0.0
287625,287625,0,0.0
301188,301188,0,0.0
232500,232500,0,0.0
396106,396106,0,0.0
435000,435000,0,0.0
345281,345281,0,0.0
224798,224798,0,0.0
586112,586112,0,0.0
313136,313136,0,0.0
292410,292410,0,0.0
370822,370822,0,0.0
224965,224965,0,0.0
225000,225000,0,0.0
301188,301188,0,0.0
287625,287625,0,0.0
181450,181450,0,0.0
298020,298020,0,0.0
435000,435000,0,0.0
309175,309175,0,0.0
345660,345660,0,0.0
671542,671542,0,0.0
636016,636016,0,0.0
299035,299035,0,0.0
228000,228000,0,0.0
313323,313323,0,0.0
301188,301188,0,0.0
198750,198750,0,0.0
34356,34356,0,0.0
287625,287625,0,0.0
199000,199000,0,0.0
417800,417800,0,0.0
214457,214457,0,0.0
397840,397840,0,0.0
309175,309175,0,0.0
595674,595674,0,0.0
337307,337307,0,0.0
1,1,0,0.0
190530,190530,0,0.0
638976,638976,0,0.0
657458,657458,0,0.0
225060,225060,0,0.0
253625,253625,0,0.0
313504,313504,0,0.0
454800,454800,0,0.0
103421,103421,0,0.0
182173,182173,0,0.0
238500,238500,0,0.0
305863,305863,0,0.0
358009,358009,0,0.0
158775,158775,0,0.0
206901,206901,0,0.0
298875,298875,0,0.0
309175,309175,0,0.0
202928,202928,0,0.0
608149,608149,0,0.0
647597,647597,0,0.0
313680,313680,0,0.0
280000,280000,0,0.0
184682,184682,0,0.0
277200,277200,0,0.0
223495,223495,0,0.0
356400,356400,0,0.0
450549,450549,0,0.0
450549,450549,0,0.0
450549,450549,0,0.0
464548,464548,0,0.0
384846,384846,0,0.0
373300,373300,0,0.0
384846,384846,0,0.0
384846,384846,0,0.0
375710,375710,0,0.0
192543,192543,0,0.0
612133,612133,0,0.0
759465,759465,0,0.0
237920,237920,0,0.0
800171,800171,0,0.0
618197,618197,0,0.0
402500,402500,0,0.0
125108,125108,0,0.0
384780,384780,0,0.0
323970,323970,0,0.0
645188,645188,0,0.0
85419,85419,0,0.0
499763,499763,0,0.0
402500,402500,0,0.0
118979,118979,0,0.0
323970,323970,0,0.0
72341,72341,0,0.0
121408,121408,0,0.0
371250,371250,0,0.0
759465,759465,0,0.0
402500,402500,0,0.0
362250,362250,0,0.0
360163,360163,0,0.0
759465,759465,0,0.0
330582,330582,0,0.0
66737,66737,0,0.0
251113,251113,0,0.0
121408,121408,0,0.0
235769,235769,0,0.0
576664,576664,0,0.0
