lag,n,r,p,abs_r
-3,8,0.5173860951227077,0.18912098491015886,0.5173860951227077
-2,9,0.5895681099369126,0.09475749947255167,0.5895681099369126
-1,10,0.462922526858967,0.17788491420741367,0.462922526858967
0,11,0.4545442997853362,0.16014663321166595,0.4545442997853362
1,10,0.6043740867553984,0.06421048649942943,0.6043740867553984
2,9,0.1473182776689799,0.7052605344727512,0.1473182776689799
3,8,0.03312212357866007,0.9379414251607379,0.03312212357866007
