lag,n_projects_pear,proj_pear_r,proj_pear_p,proj_pear_absr,n_projects_spear,proj_spear_r,proj_spear_p,proj_spear_absr,n_funding_pear,fund_pear_r,fund_pear_p,fund_pear_absr,n_funding_spear,fund_spear_r,fund_spear_p,fund_spear_absr
-3,8,0.5173860951227077,0.18912098491015886,0.5173860951227077,8,0.4047619047619048,0.3198886412288162,0.4047619047619048,8,0.6269788834810273,0.09616577105994865,0.6269788834810273,8,0.4761904761904762,0.23293553465009798,0.4761904761904762
-2,9,0.5895681099369126,0.09475749947255167,0.5895681099369126,9,0.5666666666666667,0.11163298761149111,0.5666666666666667,9,0.7045629227894639,0.03406987026743708,0.7045629227894639,9,0.6833333333333333,0.04244227208707231,0.6833333333333333
-1,10,0.462922526858967,0.17788491420741367,0.462922526858967,10,0.5878787878787878,0.07387770688865801,0.5878787878787878,10,0.6936324771496407,0.02610289492973273,0.6936324771496407,10,0.8060606060606059,0.004862061101964606,0.8060606060606059
0,11,0.4545442997853362,0.16014663321166595,0.4545442997853362,11,0.4692495090055514,0.14536428316352717,0.4692495090055514,11,0.6812240840629377,0.020998314290314672,0.6812240840629377,11,0.5818181818181819,0.060419896215648305,0.5818181818181819
1,10,0.6043740867553984,0.06421048649942943,0.6043740867553984,10,0.2796365500928297,0.433925839676929,0.2796365500928297,10,0.6532542966092796,0.04054244781297165,0.6532542966092796,10,0.3696969696969697,0.2930500752928223,0.3696969696969697
2,9,0.1473182776689799,0.7052605344727512,0.1473182776689799,9,0.3514675116774037,0.353666329808871,0.3514675116774037,9,0.24201426885805444,0.5304069886895997,0.24201426885805444,9,0.41666666666666663,0.26458604674749614,0.41666666666666663
3,8,0.03312212357866007,0.9379414251607379,0.03312212357866007,8,-0.01197626261913259,0.9775466547038871,0.01197626261913259,8,0.31803165192317473,0.442679381654597,0.31803165192317473,8,0.4047619047619048,0.3198886412288162,0.4047619047619048
