lag,n,r,p,abs_r
-3,8,0.6269788834810273,0.09616577105994865,0.6269788834810273
-2,9,0.7045629227894639,0.03406987026743708,0.7045629227894639
-1,10,0.6936324771496407,0.02610289492973273,0.6936324771496407
0,11,0.6812240840629377,0.020998314290314672,0.6812240840629377
1,10,0.6532542966092796,0.04054244781297165,0.6532542966092796
2,9,0.24201426885805444,0.5304069886895997,0.24201426885805444
3,8,0.31803165192317473,0.442679381654597,0.31803165192317473
