polymer,pearson_r,pearson_p,spearman_rho,spearman_p,n
hydrogel,0.8579105050559275,0.0007297341856050492,0.790909090909091,0.003746082953397406,11
plga,0.6833421141974093,0.02044782908967913,0.5296858873735789,0.09377967555539847,11
peg,0.24062707643597872,0.47600458402042317,0.19090909090909092,0.5739131682855215,11
pcl,-0.0426208932828412,0.9009796456758822,-0.1296518626509113,0.7039888971591057,11
chitosan,-0.04213508035483432,0.9021036262839439,-0.16856535760393596,0.6202799923103801,11
pla,-0.32892010525755144,0.3233204396782282,-0.22727272727272727,0.501535667604937,11
polymeric_micelle,,,,,11
